,count,mean,std,min,25%,50%,75%,max,missing,clickbait_count,clickbait_mean,clickbait_std,clickbait_min,clickbait_25%,clickbait_50%,clickbait_75%,clickbait_max,non_clickbait_count,non_clickbait_mean,non_clickbait_std,non_clickbait_min,non_clickbait_25%,non_clickbait_50%,non_clickbait_75%,non_clickbait_max
v_cnn_16,1556.0,0.04141327750455656,0.1482013898382454,0.0,0.0,0.0,0.019805688749999998,2.70526,0,780.0,0.05355674608960257,0.1834110805562373,0.0,0.0,0.0,0.030671974,2.70526,776.0,0.029207213720618557,0.09979058621315776,0.0,0.0,0.0,0.01140873525,1.625887
v_cnn_17,1556.0,0.02828765904174614,0.11221857864044428,0.0,0.0,0.0,0.016308953,2.58975,0,780.0,0.03400058716735513,0.12338808895588282,0.0,0.0,0.0,0.02062815725,2.58975,776.0,0.022545282833015465,0.09948969433100797,0.0,0.0,0.0,0.01368575975,1.5379803
v_cnn_18,1556.0,0.023627059254061698,0.08793224273535613,0.0,0.0,0.0,0.0003671050175,1.4202427,0,780.0,0.01985723490548718,0.06465244792717366,0.0,0.0,0.0,0.0013086601000000002,0.7610789,776.0,0.027416315686907215,0.10622546705582321,0.0,0.0,0.0,0.0,1.4202427
v_cnn_19,1556.0,0.17684524290191092,0.3808449828291724,0.0,0.0,0.0370468625,0.183612775,6.497303,0,780.0,0.19312618435816667,0.43309484010155713,0.0,0.00125736965,0.043439572499999995,0.1949223675,6.497303,776.0,0.16048037906701468,0.31929199708563216,0.0,0.0,0.028417053499999997,0.16349520750000002,2.719238
v_cnn_20,1556.0,0.03899782530350578,0.10721846746821931,0.0,0.0,0.0,0.027067894000000002,1.5561575,0,780.0,0.03598270296027564,0.10335413657087741,0.0,0.0,0.0,0.024937907999999998,1.5561575,776.0,0.04202848951448453,0.11095138007975283,0.0,0.0,0.0,0.02843166275,1.1820266
v_cnn_21,1556.0,0.11836295992257712,0.27630806848972517,0.0,0.0,0.0077939532,0.115764404,3.8780448,0,780.0,0.1587171789685577,0.3383460296647828,0.0,0.0,0.025904711,0.17955800249999998,3.8780448,776.0,0.0778007294382152,0.1866268371503723,0.0,0.0,0.0,0.06540784999999999,1.6059341
v_cnn_22,1556.0,0.11883369457816839,0.23434735755771194,0.0,0.0,0.025700164,0.1243655725,2.2967868,0,780.0,0.12656538150207694,0.22396943376400266,0.0,0.0,0.0381424875,0.149290095,1.5976485,776.0,0.11106215359795103,0.24423315326361542,0.0,0.0,0.01475715875,0.10564182550000001,2.2967868
v_cnn_23,1556.0,0.040602493115112465,0.12416755303970911,0.0,0.0,0.0,0.03257055775,2.5761528,0,780.0,0.040057474482057695,0.13990735051112807,0.0,0.0,2.0500349e-05,0.029502114500000003,2.5761528,776.0,0.041150321122564434,0.10610813865583266,0.0,0.0,0.0,0.03675088225,1.1158197
v_cnn_24,1556.0,0.021892196618984575,0.07750653421220412,0.0,0.0,0.0,0.003267347,1.0007881,0,780.0,0.02427532612232051,0.08723625688066368,0.0,0.0,0.0,0.005737170775,1.0007881,776.0,0.019496782942951034,0.06627501856037102,0.0,0.0,0.0,0.0,0.88947827
v_cnn_25,1556.0,0.1759272042003303,0.26669290531919587,0.0,0.011251802,0.0885554175,0.23710930749999998,4.545976,0,780.0,0.1664230085819359,0.23413689411982588,0.0,0.0137778835,0.085963455,0.2331765325,2.2819507,776.0,0.18548039051778864,0.29567509524323277,0.0,0.01024013275,0.09395756499999999,0.2418982575,4.545976
v_cnn_26,1556.0,0.27379035375243577,0.3769509775350507,0.0,0.023184892250000002,0.128730575,0.3630564175,2.7087533,0,780.0,0.26988868739170513,0.36851511042502766,0.0,0.031132096249999998,0.13459473,0.3481197675,2.7087533,776.0,0.27771213179543813,0.38544230832374293,0.0,0.014295566375,0.1254078,0.3723640875,2.5211914
